open,high,low,close,adjusted_close,volume,dividend_amount
130.97,132.61,130.315,130.5,119.8209,13172262,0.0
126.47,131.48,126.47,131.09,120.3626,20779522,0.0
124.31,127.215,122.6,125.29,115.0372,20458253,0.0
125.15,128.19,121.71,123.69,113.5682,66132690,0.0
129.64,130.86,125.13,125.45,115.1841,20761401,0.0
131.42,131.87,127.71,129.64,119.0313,17865677,0.0
134.0,134.385,128.86,130.57,119.8852,14198950,0.0
136.0,137.39,133.89,135.02,123.971,16543870,0.0
135.83,136.74,133.34,135.6,124.5035,22140989,1.65
134.32,136.95,132.8,136.94,124.2017,27874571,0.0
141.4,142.985,132.98,134.39,121.8889,43345140,0.0
146.42,147.18,139.75,141.2,128.0654,21419368,0.0
144.08,146.66,142.9,145.89,132.3191,14580596,0.0
141.1,144.25,140.01,143.7,130.3329,13648755,0.0
141.73,142.81,139.45,140.89,127.7843,10477419,0.0
140.16,143.09,137.195,141.65,128.4736,19663576,0.0
147.82,153.21,138.97,140.16,127.1222,33572382,0.0
147.94,149.153,146.29,147.05,133.3712,15316930,0.0
147.98,150.01,145.67,148.67,134.8405,20066941,0.0
147.55,150.46,146.45,148.37,134.5685,16271883,0.0
142.63,148.31,142.0,147.64,133.9064,22034930,0.0
136.64,144.13,136.51,143.17,129.8522,25066114,1.65
138.06,140.17,133.97,136.96,122.7457,22491556,0.0
130.9,138.8615,129.85,138.51,124.1348,26667185,0.0
121.8,130.845,121.43,129.9,116.4184,37309868,0.0
119.79,122.54,115.545,120.04,107.5817,22973512,0.0
120.16,126.46,118.07,118.82,106.4883,21614952,0.0
122.3,124.26,118.61,118.81,106.4794,22265241,0.0
126.49,128.06,121.74,122.71,109.9746,19442664,0.0
130.33,130.99,123.83,127.27,114.0614,27107187,0.0
127.8,129.49,126.28,129.19,115.7821,12004834,0.0
129.99,131.42,127.24,127.79,114.5274,15086608,0.0
137.65,137.85,130.34,130.38,116.8486,16982107,0.0
132.96,139.34,132.24,138.37,124.0094,17105977,0.0
133.1,134.09,129.12,134.01,120.1019,17254110,1.65
130.75,132.862,130.51,132.48,117.2366,17400572,0.0
128.44,131.0,127.58,130.79,115.741,22223785,0.0
140.15,140.31,125.13,128.25,113.4933,66246811,0.0
140.62,141.87,135.02,139.92,123.8205,21089228,0.0
139.97,141.325,135.27,140.47,124.3072,16229131,0.0
142.26,144.155,139.26,141.12,124.8824,21052787,0.0
135.9,142.37,135.9,142.06,125.7143,23921844,0.0
133.97,138.45,132.85,135.02,119.4843,34055621,0.0
142.98,144.73,135.25,136.19,120.5197,18914084,0.0
138.2,142.5794,136.81,141.18,124.9355,19861566,0.0
129.5,139.7394,129.42,139.27,123.2453,19618090,0.0
133.1,138.37,125.8,128.48,113.6968,27360441,0.0
134.41,136.345,128.43,133.6,118.2277,31171489,1.65
133.0,137.99,130.89,137.67,120.3523,27079586,0.0
137.59,139.87,132.0,132.21,115.5791,24560464,0.0
126.6,141.88,125.53,138.25,120.8593,47056765,0.0
127.95,130.58,124.91,126.56,110.6398,15342641,0.0
130.26,131.23,126.73,127.73,111.6627,16553021,0.0
130.82,133.08,128.06,130.15,113.7782,19183786,0.0
129.0,131.4,127.4,131.35,114.8273,15440952,0.0
124.45,128.93,122.685,128.76,112.5631,22675632,0.0
