IND_NAME,DIM_GEO_NAME,DIM_1_CODE,VALUE_NUMERIC
Life expectancy at birth (years),Bosnia and Herzegovina,SEX_BTSX,74.84944153
Life expectancy at birth (years),Bosnia and Herzegovina,SEX_MLE,72.55525208
Life expectancy at birth (years),Bosnia and Herzegovina,SEX_FMLE,77.19796753
Age-standardized prevalence of obesity among adults (18+ years) (%),Botswana,SEX_BTSX,18.2908802
Life expectancy at birth (years),Botswana,SEX_BTSX,61.23118973
Life expectancy at birth (years),Botswana,SEX_MLE,59.22470856
Life expectancy at birth (years),Botswana,SEX_FMLE,63.17931366
Age-standardized prevalence of obesity among adults (18+ years) (%),Brazil,SEX_BTSX,28.14183998
Life expectancy at birth (years),Brazil,SEX_FMLE,75.84727478
Life expectancy at birth (years),Brazil,SEX_BTSX,72.38840485
Life expectancy at birth (years),Brazil,SEX_MLE,69.04411316
Age-standardized prevalence of obesity among adults (18+ years) (%),Brunei Darussalam,SEX_BTSX,31.71067047
Life expectancy at birth (years),Brunei Darussalam,SEX_FMLE,78.5667038
Life expectancy at birth (years),Brunei Darussalam,SEX_BTSX,76.92260742
Life expectancy at birth (years),Brunei Darussalam,SEX_MLE,75.33717346
Age-standardized prevalence of obesity among adults (18+ years) (%),Bulgaria,SEX_BTSX,20.58764076
Life expectancy at birth (years),Bulgaria,SEX_FMLE,74.97959137
Life expectancy at birth (years),Bulgaria,SEX_MLE,67.97640228
Life expectancy at birth (years),Bulgaria,SEX_BTSX,71.30586243
Age-standardized prevalence of obesity among adults (18+ years) (%),Burkina Faso,SEX_BTSX,6.74530983
Life expectancy at birth (years),Burkina Faso,SEX_FMLE,64.64479065
Life expectancy at birth (years),Burkina Faso,SEX_BTSX,62.29728699
Life expectancy at birth (years),Burkina Faso,SEX_MLE,59.87614059
Age-standardized prevalence of obesity among adults (18+ years) (%),Burundi,SEX_BTSX,5.021910191
Life expectancy at birth (years),Burundi,SEX_BTSX,64.00695038
Life expectancy at birth (years),Burundi,SEX_MLE,62.04709244
Life expectancy at birth (years),Burundi,SEX_FMLE,65.94968414
Age-standardized prevalence of obesity among adults (18+ years) (%),Cabo Verde,SEX_BTSX,15.77243042
Life expectancy at birth (years),Cabo Verde,SEX_FMLE,77.44199371
Life expectancy at birth (years),Cabo Verde,SEX_MLE,68.80259705
Life expectancy at birth (years),Cabo Verde,SEX_BTSX,73.16098022
Age-standardized prevalence of obesity among adults (18+ years) (%),Cambodia,SEX_BTSX,4.363880157
Life expectancy at birth (years),Cambodia,SEX_FMLE,71.45082092
Life expectancy at birth (years),Cambodia,SEX_MLE,66.3507309
Life expectancy at birth (years),Cambodia,SEX_BTSX,68.92399597
Age-standardized prevalence of obesity among adults (18+ years) (%),Cameroon,SEX_BTSX,14.88249969
Life expectancy at birth (years),Cameroon,SEX_BTSX,61.76934814
Life expectancy at birth (years),Cameroon,SEX_MLE,59.88696289
Life expectancy at birth (years),Cameroon,SEX_FMLE,63.7244072
Age-standardized prevalence of obesity among adults (18+ years) (%),Canada,SEX_BTSX,26.22711945
Life expectancy at birth (years),Canada,SEX_BTSX,81.58276367
Life expectancy at birth (years),Canada,SEX_MLE,79.37275696
Life expectancy at birth (years),Canada,SEX_FMLE,83.81497955
