OID_,CTR_MN_ISO,CTR_MN_NM,UC_NM_MN,UC_NM_LST,Total_POP,Access_POP,SDG1121pct,Shape_Length,Shape_Area
1,AFG,Afghanistan,N/A,-,2735.464225530623025,-9999.000000000000000,-9999.000000000000000,0.128492986868403,0.000490810884092
2,AFG,Afghanistan,Ghurian,Ghurian,929.483666896819386,-9999.000000000000000,-9999.000000000000000,0.105674536793567,0.000586419715481
3,AFG,Afghanistan,N/A,-,96.640578329563169,-9999.000000000000000,-9999.000000000000000,0.061115389049543,0.000196874315913
4,AFG,Afghanistan,Toraghundi,Toraghundi,14976.737287521338658,-9999.000000000000000,-9999.000000000000000,0.145351697082875,0.000691669140555
5,AFG,Afghanistan,Herat,Herat,317854.237989427172579,-9999.000000000000000,-9999.000000000000000,0.518800308623641,0.005864206490089
6,AFG,Afghanistan,Guzarah,Guzarah,28410.184441566503665,-9999.000000000000000,-9999.000000000000000,0.242931920080354,0.001561101167293
7,AFG,Afghanistan,Shindand,Shindand; Sabzawar,15750.448311805695994,-9999.000000000000000,-9999.000000000000000,0.183949775568201,0.001158670867714
8,AFG,Afghanistan,N/A,-,4223.235789179801031,-9999.000000000000000,-9999.000000000000000,0.101535240479837,0.000483234103967
9,AFG,Afghanistan,Qala i Naw,Qala i Naw,7837.722469329836713,-9999.000000000000000,-9999.000000000000000,0.083883339984992,0.000295502177161
10,AFG,Afghanistan,Farah,Farah,21129.438318967844680,-9999.000000000000000,-9999.000000000000000,0.226750101990687,0.001528784265581
11,AFG,Afghanistan,N/A,-,17.354342043399818,-9999.000000000000000,-9999.000000000000000,0.041369804381851,0.000096838232798
12,AFG,Afghanistan,Zaranj,Zaranj,17272.866268157969898,-9999.000000000000000,-9999.000000000000000,0.161752467884817,0.000941057649513
13,AFG,Afghanistan,N/A,-,1906.048878788946467,-9999.000000000000000,-9999.000000000000000,0.169885605373128,0.000898255867709
14,AFG,Afghanistan,Koh-i-Sayad,Koh-i-Sayad,10994.826340079318470,-9999.000000000000000,-9999.000000000000000,0.308697750708942,0.002302028920540
15,AFG,Afghanistan,Maymana,Maymana,51416.153644561825786,-9999.000000000000000,-9999.000000000000000,0.172765225553261,0.001195747845638
16,AFG,Afghanistan,N/A,-,272.014311909675598,-9999.000000000000000,-9999.000000000000000,0.164427430974822,0.000784799451944
17,AFG,Afghanistan,Sheberghan,Sheberghan,44270.120256185495236,-9999.000000000000000,-9999.000000000000000,0.233990159573639,0.002012134348618
18,AFG,Afghanistan,Sar-e Pol,Sar-e Pol,38253.784597754434799,-9999.000000000000000,-9999.000000000000000,0.252792217585205,0.001600391120377
19,AFG,Afghanistan,N/A,-,35.823264926671989,-9999.000000000000000,-9999.000000000000000,0.041536957751772,0.000096955191969
20,AFG,Afghanistan,Lashkar Gah,Lashkar Gah,30990.005520582199097,-9999.000000000000000,-9999.000000000000000,0.266555256463482,0.002178860777101
21,AFG,Afghanistan,Tukzar,Tukzar,6036.185772180558160,-9999.000000000000000,-9999.000000000000000,0.167219912259406,0.000897216976929
22,AFG,Afghanistan,Garmsir,Garmsir,325.641707807779142,-9999.000000000000000,-9999.000000000000000,0.125133888445698,0.000565629274722
23,AFG,Afghanistan,Musa Qal`eh,Musa Qal`eh,350.336153864860535,-9999.000000000000000,-9999.000000000000000,0.082068918544667,0.000286551571481
24,AFG,Afghanistan,Girishk,Girishk,3668.680356621738156,-9999.000000000000000,-9999.000000000000000,0.163366954126033,0.000759749490822
25,AFG,Afghanistan,N/A,-,53.549375027418151,-9999.000000000000000,-9999.000000000000000,0.042081356107526,0.000098400545725
26,AFG,Afghanistan,Mazar i sharif,Mazar i sharif,507358.719144104863517,5158.215200424196155,1.016680113259099,0.346255516967167,0.004630474580323
27,AFG,Afghanistan,Sangin,Sangin,3875.927211999886822,-9999.000000000000000,-9999.000000000000000,0.081883201421085,0.000285680026131
28,AFG,Afghanistan,N/A,-,94.516058832406969,-9999.000000000000000,-9999.000000000000000,0.061212402783004,0.000195371980226
29,AFG,Afghanistan,N/A,-,66.808742016553893,-9999.000000000000000,-9999.000000000000000,0.041678078205979,0.000097220729189
30,AFG,Afghanistan,Hotal,Hotal,980.949736148120110,-9999.000000000000000,-9999.000000000000000,0.166485228693452,0.000663396379161
31,AFG,Afghanistan,Dehi,Dehi,252.522683620452710,-9999.000000000000000,-9999.000000000000000,0.085200551706760,0.000299075273290
32,AFG,Afghanistan,Kholm,Kholm,6562.377147555356714,-9999.000000000000000,-9999.000000000000000,0.171853484866978,0.001107172021186
33,AFG,Afghanistan,Tarinkot,Tarinkot,20151.953126668926416,-9999.000000000000000,-9999.000000000000000,0.183743194185964,0.001149783388176
34,AFG,Afghanistan,N/A,-,376.207158625126056,-9999.000000000000000,-9999.000000000000000,0.082562513758223,0.000288171558987
35,AFG,Afghanistan,Kandahar,Kandahar,279287.077036023314577,-9999.000000000000000,-9999.000000000000000,0.547040621917582,0.006348905013510
36,AFG,Afghanistan,N/A,-,73.624601736664786,-9999.000000000000000,-9999.000000000000000,0.063858902338199,0.000193443902537
37,AFG,Afghanistan,Samangan,Samangan,5571.439632058143616,-9999.000000000000000,-9999.000000000000000,0.128363930138431,0.000700623941080
38,AFG,Afghanistan,N/A,-,51407.942241191856738,-9999.000000000000000,-9999.000000000000000,0.222719265158861,0.001703466010012
39,AFG,Afghanistan,N/A,-,75.001115441322355,-9999.000000000000000,-9999.000000000000000,0.041859321924824,0.000097549862685
40,AFG,Afghanistan,N/A,-,43.241685211658506,-9999.000000000000000,-9999.000000000000000,0.041738606856506,0.000097200940122
41,AFG,Afghanistan,Kunduz,Kunduz,151710.745553255284904,-9999.000000000000000,-9999.000000000000000,0.344418871803847,0.003523688220790
42,AFG,Afghanistan,N/A,-,202.937152743339624,-9999.000000000000000,-9999.000000000000000,0.082951487037899,0.000289428576523
43,AFG,Afghanistan,Bamian,Bamian,11291.375024914726964,-9999.000000000000000,-9999.000000000000000,0.146041927848934,0.000982942174029
44,AFG,Afghanistan,Baghlan,Baghlan,12103.195822000488988,-9999.000000000000000,-9999.000000000000000,0.128383257124524,0.000699818722164
45,AFG,Afghanistan,Puli Khumri,Puli Khumri,92874.527042388988775,2308.083267211914063,2.485162875885736,0.341553514042044,0.002193354826446
46,AFG,Afghanistan,Khanabad,Khanabad,18881.125502824772411,-9999.000000000000000,-9999.000000000000000,0.278444057680205,0.001811221660630
47,AFG,Afghanistan,Chaman,Chaman,13317.732388675220136,2718.328103303909302,20.411343492796522,0.284369459815465,0.002728114075517
48,AFG,Afghanistan,N/A,-,136.590298831462775,-9999.000000000000000,-9999.000000000000000,0.041459242979445,0.000096367432849
49,AFG,Afghanistan,Chayab,Chayab,12107.420564174657557,-9999.000000000000000,-9999.000000000000000,0.130317922389913,0.000812579847899
50,AFG,Afghanistan,Nahrin,Nahrin,7157.032876491548450,-9999.000000000000000,-9999.000000000000000,0.108307675400786,0.000499133207805
51,AFG,Afghanistan,Taloqan,Taloqan,104042.644359826896107,-9999.000000000000000,-9999.000000000000000,0.393300847569888,0.003624859447315
52,AFG,Afghanistan,Rustaq,Rustaq,16490.889180302638124,-9999.000000000000000,-9999.000000000000000,0.305824054837007,0.001923295318530
53,AFG,Afghanistan,N/A,-,65.866999417543383,-9999.000000000000000,-9999.000000000000000,0.041516872231648,0.000096481738595
54,AFG,Afghanistan,Muqer,Muqer,137.683283984661131,-9999.000000000000000,-9999.000000000000000,0.041359365138764,0.000096028309813
55,AFG,Afghanistan,Charikar,Charikar,48084.619265079534671,12252.659667968751819,25.481453020190703,0.205863873568588,0.001182548106385
56,AFG,Afghanistan,Ghazni,Ghazni,25794.709057807875070,-9999.000000000000000,-9999.000000000000000,0.202306232958519,0.001065156523844
57,AFG,Afghanistan,Golbahar,Golbahar,30479.420294046409253,-9999.000000000000000,-9999.000000000000000,0.251421017195645,0.001381646762302
58,AFG,Afghanistan,Kabul,Kabul,4876160.273538845591247,1091980.271794793428853,22.394265375577788,1.459946619018060,0.031440796098587
59,AFG,Afghanistan,Bagram,Bagram,32560.480717659011134,-9999.000000000000000,-9999.000000000000000,0.231147030419299,0.001673746093788
60,AFG,Afghanistan,Injerak,Injerak,21321.289415597933839,5040.026630401614966,23.638470132648287,0.230280244262932,0.001470471824736
61,AFG,Afghanistan,Fayzabad,Fayzabad,18848.806355953191087,-9999.000000000000000,-9999.000000000000000,0.130078373091704,0.000809541519090
62,AFG,Afghanistan,N/A,-,4190.731008827682672,-9999.000000000000000,-9999.000000000000000,0.338944781773448,0.001775122108726
63,AFG,Afghanistan,Baraki Rijan,Baraki Rijan; Baraki Barak,21930.122251987453637,-9999.000000000000000,-9999.000000000000000,0.328879142320608,0.002431426582430
64,AFG,Afghanistan,N/A,-,226.173110127449092,-9999.000000000000000,-9999.000000000000000,0.041586340027726,0.000096548715748
65,AFG,Afghanistan,Pul-i-Alam,Pul-i-Alam,19560.048203349124378,-9999.000000000000000,-9999.000000000000000,0.306867086014930,0.002044581136255
66,AFG,Afghanistan,Khand Khil,Khand Khil; Kunder Khil; Khoshal Khil,2563.093355774880820,-9999.000000000000000,-9999.000000000000000,0.128294561119844,0.000484942216375
67,AFG,Afghanistan,`Ali Khel,`Ali Khel,3680.111377000808716,-9999.000000000000000,-9999.000000000000000,0.170506483730044,0.000972642492631
68,AFG,Afghanistan,Mihtarlam,Mihtarlam,27294.202795982349926,-9999.000000000000000,-9999.000000000000000,0.146409604349163,0.000785047187202
69,AFG,Afghanistan,Darza Kheyl,Darza Kheyl; Hisarak-e Pa'in; Hesarak-e Bala; Katah Mangyar,2576.111491322520124,-9999.000000000000000,-9999.000000000000000,0.106089666391776,0.000582702403715
70,AFG,Afghanistan,N/A,-,267.834197640419063,-9999.000000000000000,-9999.000000000000000,0.041742257257761,0.000096818811231
71,AFG,Afghanistan,Jalalabad,Jalalabad,349123.515340089972597,1380.041081428527605,0.395287346967791,0.598541144537350,0.005674576663054
72,AFG,Afghanistan,N/A,-,540.764587879180681,-9999.000000000000000,-9999.000000000000000,0.041642067046017,0.000096519971179
73,AFG,Afghanistan,Khost,Khost,28671.682730674761842,-9999.000000000000000,-9999.000000000000000,0.191942332858642,0.001159100472721
74,AFG,Afghanistan,N/A,-,2154.033997058868863,-9999.000000000000000,-9999.000000000000000,0.063999926186987,0.000193251061104
75,AFG,Afghanistan,Anarbagh,Anarbagh; Jamali (2); Dargali; Jamali; Arab Khil; Kuz Merzakhel,17570.890678405794461,-9999.000000000000000,-9999.000000000000000,0.233264877497043,0.001467356013642
76,AFG,Afghanistan,Mohmand Darah,Mohmand Darah,35385.418762922301539,-9999.000000000000000,-9999.000000000000000,0.317031261950459,0.002830256633590
77,AGO,Angola,Tombua,Tombua,3687.942772388458707,-9999.000000000000000,-9999.000000000000000,0.151459034465454,0.000587070210573
78,AGO,Angola,Namibe,Namibe,65340.500342369159625,6551.777818679808661,10.027131387653904,0.241240736942644,0.002006938107634
79,AGO,Angola,Cabinda,Cabinda,250505.853806495346362,-9999.000000000000000,-9999.000000000000000,0.443232525947601,0.005270296529153
80,AGO,Angola,Soyo,Soyo,11229.843579769132702,-9999.000000000000000,-9999.000000000000000,0.108717527381741,0.000730462263247
81,AGO,Angola,Luanda,Luanda,12177945.426333257928491,1552884.984527593245730,12.751617207691440,2.032367812843259,0.062976013510360
82,AGO,Angola,Benguela,Benguela,187837.139284133911133,31764.095300674456666,16.910444559436236,0.439119593096680,0.004713122068699
83,AGO,Angola,Lubango,Lubango,234386.703227519697975,65711.068282604421256,28.035322557874988,0.428981535936960,0.006847841647664
84,AGO,Angola,Panguila,Panguila,131588.820453643769724,-9999.000000000000000,-9999.000000000000000,0.254449034173453,0.001877642526086
85,AGO,Angola,Lobito,Lobito,117101.182046413669013,8160.863996505731848,6.969070554105171,0.451346024859996,0.005122309775870
86,AGO,Angola,Chibia,Chibia,8811.877008676514379,-9999.000000000000000,-9999.000000000000000,0.143245634282571,0.000752559938682
87,AGO,Angola,Caxito,Caxito,6992.770980358124689,-9999.000000000000000,-9999.000000000000000,0.149221143288306,0.000652886815377
88,AGO,Angola,Porto Amboim,Porto Amboim,14386.123219013203197,-9999.000000000000000,-9999.000000000000000,0.125687949566083,0.000985604210996
89,AGO,Angola,Sumbe,Sumbe,27794.234718322768458,-9999.000000000000000,-9999.000000000000000,0.158396769509377,0.001069467082488
90,AGO,Angola,Chibemba,Chibemba,100.193013310432391,-9999.000000000000000,-9999.000000000000000,0.036862026250812,0.000083846698846
91,AGO,Angola,Bocoio,Bocoio,1096.386405110359419,-9999.000000000000000,-9999.000000000000000,0.093421095587667,0.000413230821063
92,AGO,Angola,Cubal,Cubal,15477.636070489907070,4167.357032775876178,26.925022747637030,0.203421665271024,0.001656651615526
93,AGO,Angola,Vila Nova do Seles,Vila Nova do Seles,3170.537574410434900,-9999.000000000000000,-9999.000000000000000,0.142144099403502,0.000823243077965
94,AGO,Angola,M'banza Congo,M'banza Congo,16660.007856369040383,-9999.000000000000000,-9999.000000000000000,0.181220990848668,0.001380087311107
95,AGO,Angola,Gabela,Gabela,13358.468068122885597,-9999.000000000000000,-9999.000000000000000,0.186252658378517,0.001150324781939
96,AGO,Angola,Quipungo,Quipungo,3696.478657245639170,1955.291455268861455,52.896056938843742,0.130708197219918,0.000584322584817
97,AGO,Angola,Ganda,Ganda,5268.334125995629620,1776.894365310669400,33.727822169495866,0.158925338976727,0.001076736111777
98,AGO,Angola,Caluquembe,Caluquembe,8701.657106399536133,-9999.000000000000000,-9999.000000000000000,0.183442370096018,0.001080176729992
99,AGO,Angola,Balombo,Balombo,2374.437975406648548,-9999.000000000000000,-9999.000000000000000,0.093400682517597,0.000495660032476
100,AGO,Angola,Xangongo,Xangongo,6077.562489032747180,-9999.000000000000000,-9999.000000000000000,0.110885522143580,0.000505619971645
101,AGO,Angola,Chicomba,Chicomba,587.674187719821930,-9999.000000000000000,-9999.000000000000000,0.110153732959466,0.000499294178034
102,AGO,Angola,Matala,Matala,20603.908012866992067,4459.896772384647193,21.645877906266495,0.204227242339080,0.001752325502686
103,AGO,Angola,Calulo,Calulo,1738.240172624587103,-9999.000000000000000,-9999.000000000000000,0.105397753464543,0.000491658148758
104,AGO,Angola,N'dalatando,N'dalatando,17715.814720630645752,-9999.000000000000000,-9999.000000000000000,0.165648703352046,0.001144812888953
105,AGO,Angola,Caconda,Caconda,3945.647006511689142,-9999.000000000000000,-9999.000000000000000,0.126423999015973,0.000747656856924
106,AGO,Angola,Waku Kungo,Waku Kungo,4568.549870014191583,-9999.000000000000000,-9999.000000000000000,0.182539611401792,0.001152343357628
107,AGO,Angola,Uíge,Uíge,77485.119358539581299,-9999.000000000000000,-9999.000000000000000,0.286559995568736,0.003419369166720
108,AGO,Angola,Longonjo,Longonjo,1393.680896282197637,768.500144243240811,55.141757793573930,0.073239225320562,0.000331158338920
109,AGO,Angola,Negage,Negage,7740.842270851129797,-9999.000000000000000,-9999.000000000000000,0.141390034738332,0.000895873941375
110,AGO,Angola,Ondjiva,Ondjiva,28444.153844833352196,1904.394620895385060,6.695205739935571,0.168506240796305,0.001181801973015
111,AGO,Angola,Calilongue,Calilongue; Caála; Cacondá; Tchandenda; Cauengula; Lua Cheia; Cambongue; Mussili; Ndôngua; Calai Brita; Nacandiango; Cassoma; Calonundo Caluhue; Muangundja; Nguia; Cangote,9284.765854477889661,2314.276054382323764,24.925518754640247,0.179153360681016,0.001241591298220
112,AGO,Angola,N/A,-,86.709345564246192,-9999.000000000000000,-9999.000000000000000,0.057284736670065,0.000167619138565
113,AGO,Angola,Oshikango,Oshikango,6077.809125900271283,-9999.000000000000000,-9999.000000000000000,0.107044182347340,0.000507352756014
114,AGO,Angola,Huambo,Huambo,124130.899446487397654,18580.729265213009057,14.968657560741496,0.455660630529372,0.005874814839930
115,AGO,Angola,Bailundo,Bailundo,9967.572572946577566,-9999.000000000000000,-9999.000000000000000,0.199163711747766,0.001403521749412
116,AGO,Angola,Jamba,Jamba,1614.103428781032790,-9999.000000000000000,-9999.000000000000000,0.175904206738802,0.001001161598578
117,AGO,Angola,N/A,-,421.406496822834129,321.594492852687949,76.314555014535387,0.073199574927616,0.000248098340646
118,AGO,Angola,Katchiungo,Katchiungo,1705.732769727708956,946.925199389457703,55.514276104375824,0.089527946878218,0.000496057980381
119,AGO,Angola,N/A,-,1266.645658373833612,-9999.000000000000000,-9999.000000000000000,0.109626208707038,0.000412253911604
120,AGO,Angola,Chinguar,Chinguar,1761.792191863060680,974.080198526382787,55.289165375191764,0.093445300827348,0.000496050117314
121,AGO,Angola,Malanje,Malanje,85735.858234882281977,7002.798359870911554,8.167875733728607,0.311303664595269,0.003846000427227
122,AGO,Angola,Chitembo,Chitembo,195.543926924467115,-9999.000000000000000,-9999.000000000000000,0.089704614568078,0.000497961186857
123,AGO,Angola,Andulo,Andulo,2531.857692778110959,-9999.000000000000000,-9999.000000000000000,0.162384799050818,0.001235190400006
124,AGO,Angola,Kuito,Kuito,39683.981402873978368,2312.030004024504706,5.826103939906236,0.407005181714628,0.004131008610655
125,AGO,Angola,Catabola,Catabola,1354.837603390217964,710.797856092452776,52.463694121997975,0.109697258571567,0.000577822175211
126,AGO,Angola,Camacupa,Camacupa,2387.021801233288443,1054.342650651931763,44.169795605016610,0.146227142245778,0.000825057751157
127,AGO,Angola,Menongue,Menongue,36400.274931192347140,4054.834000587462469,11.139569709988018,0.290188776407393,0.003419928947554
128,AGO,Angola,Cafunfo,Cafunfo,5507.738624930381775,-9999.000000000000000,-9999.000000000000000,0.145425866325870,0.000898172182288
129,AGO,Angola,Luena,Luena,27250.931340336810536,2822.472528457642966,10.357343362719567,0.332787931780921,0.003709511014812
130,AGO,Angola,Saurimo,Saurimo,42535.450315952286473,-9999.000000000000000,-9999.000000000000000,0.335386461998441,0.003683676621295
131,AGO,Angola,Lucapa,Lucapa,3765.636716604236426,-9999.000000000000000,-9999.000000000000000,0.161617184712225,0.000734197825368
132,AGO,Angola,Dundo,Dundo,21174.811980247555766,-9999.000000000000000,-9999.000000000000000,0.318981275631551,0.002603826183211
133,AGO,Angola,Luau,Luau,5780.201645374301734,2155.823589324951172,37.296684814623774,0.142025808045352,0.000903404320980
134,AGO,Angola,Cazombo,Cazombo; Alto Zambeze,922.793708562849474,-9999.000000000000000,-9999.000000000000000,0.129895492732005,0.000824673721254
135,ALB,Albania,Shkoder,Shkoder,77888.361939430134953,52598.493176937045064,67.530619295653210,0.206691097849980,0.002174107523951
136,ALB,Albania,Durrës,Durrës,121366.620069861673983,14209.643651962280273,11.708032771929245,0.440121913001963,0.003867807861691
137,ALB,Albania,Vlora,Vlora,74780.892192900180817,25170.111770629860985,33.658480171248328,0.293174685304597,0.002227347745190
138,ALB,Albania,Fier,Fier,53609.536141261487501,42532.193029999747523,79.336991310514378,0.125928251600002,0.000851902059838
139,ALB,Albania,Tirana,Tirana; Kamëz,812940.766743657877669,624604.089394091162831,76.832669112661861,0.728418224762341,0.011393736109749
140,ALB,Albania,Elbasan,Elbasan,70362.783818125550169,35998.942396163918602,51.161907535117301,0.210640475073955,0.001820790760815
141,ARE,United Arab Emirates,Madinat Zayed,Madinat Zayed,3142.173444151876538,-9999.000000000000000,-9999.000000000000000,0.191637589289580,0.001233370880748
142,ARE,United Arab Emirates,Abu Dhabi,Abu Dhabi,128902.141801834164653,17368.697393894199195,13.474328006586372,1.074202898872161,0.018168076321129
143,ARE,United Arab Emirates,Dubai,Dubai; Sharjah; Ajman,2028397.230692855780944,577266.412640573340468,28.459238846593689,2.290946549852195,0.068328020545220
144,ARE,United Arab Emirates,Green Community West,Green Community West; Green Community,59377.166294098024082,4017.725017547606967,6.766447892861074,0.214389513365268,0.001869525231581
145,ARE,United Arab Emirates,Ras Al Khaimah,Ras Al Khaimah,34130.771142244149814,1916.382559537888028,5.614823502085948,0.578777186503633,0.006004414968495
146,ARE,United Arab Emirates,Al Ain,Al Ain; Al-Buraimi,108343.396432756402646,5275.457720041269567,4.869200979235975,0.860208820491099,0.019819655538947
147,ARE,United Arab Emirates,Khor Fakkan,Khor Fakkan,52104.950554847746389,-9999.000000000000000,-9999.000000000000000,0.186233721280518,0.001071469199479
148,ARG,Argentina,San Juan,San Juan,323703.494566202105489,303815.333274363190867,93.856056043358052,0.573046671623501,0.009278700553820
149,ARG,Argentina,Mendoza,Mendoza,665399.003684044815600,385255.234292984299827,57.898378590887823,0.864260103071320,0.018742914621674
150,ARG,Argentina,San Salvador de Jujuy,San Salvador de Jujuy,146176.172979593189666,118222.633131503855111,80.876815093530013,0.313136667417291,0.003096285394909
151,ARG,Argentina,Salta,Salta,345696.924808980955277,95187.145267486906960,27.534854502996726,0.558005923790613,0.007378720070552
152,ARG,Argentina,La Rioja,La Rioja,126035.196336508321110,-9999.000000000000000,-9999.000000000000000,0.401557045877482,0.003983593731824
153,ARG,Argentina,San Martín,San Martín,34248.242770195000048,4673.162867546077905,13.644971214736202,0.207471426670963,0.001637219424292
154,ARG,Argentina,Libertador Gral. San Martín,Libertador Gral. San Martín,23709.195217847860476,-9999.000000000000000,-9999.000000000000000,0.129749060976176,0.000793786316821
155,ARG,Argentina,San Pedro,San Pedro,23811.301766634023807,2764.463966369628906,11.609881700140322,0.130107906112605,0.000796397631969
156,ARG,Argentina,San Ramón de la Nueva Orán,San Ramón de la Nueva Orán,29915.280491232875647,-9999.000000000000000,-9999.000000000000000,0.171184620960376,0.001316303298276
157,ARG,Argentina,Concepción,Concepción,32769.948265075647214,5404.225136756893335,16.491405763116244,0.158017861577016,0.001181060695703
158,ARG,Argentina,San Miguel de Tucumán,San Miguel de Tucumán,764395.517039540573023,118986.204530716146110,15.566052112856783,0.769066596706220,0.015191849534974
159,ARG,Argentina,Yacuiba,Yacuiba,21668.779177546522988,6782.825248837467370,31.302295312815460,0.252846854073773,0.002088339082141
160,ARG,Argentina,Tartagal,Tartagal,28096.138472557067871,4107.907732009885876,14.620897943047542,0.166923769642133,0.001048217631312
161,ARG,Argentina,San Fernando del Valle de Catamarca,San Fernando del Valle de Catamarca,122849.680640220467467,45746.414763927445165,37.237715658294022,0.376657215919921,0.003579936701683
162,ARG,Argentina,San Rafael,San Rafael,78370.859382629263564,17107.160863399498339,21.828471702571704,0.320134667731811,0.003236041485224
163,ARG,Argentina,San Carlos de Bariloche,San Carlos de Bariloche,52448.565455436546472,47412.910770416347077,90.398870510006986,0.227957968585278,0.002036326883785
164,ARG,Argentina,Santiago del Estero,Santiago del Estero; La Banda,270842.423041581641883,18804.843093872066675,6.943093656707178,0.529111460086528,0.007661419710189
165,ARG,Argentina,San Luis,San Luis,115466.389704406028613,38287.982057571352925,33.159417346977463,0.392336853591053,0.004344630009283
166,ARG,Argentina,Villa Carlos Paz,Villa Carlos Paz,34962.520905971578031,10032.758712291715710,28.695753201760986,0.278261114892604,0.002174786147568
167,ARG,Argentina,Villa Mercedes,Villa Mercedes,42591.511334896051267,2667.631796836851663,6.263294523317853,0.249362591111934,0.002036391419305
168,ARG,Argentina,Cordoba,Cordoba,1205535.369195224950090,1015898.427904129610397,84.269483406556034,1.161078956998148,0.028739827920604
169,ARG,Argentina,Neuquén,Neuquén,134937.895561218145303,88503.521774292195914,65.588337068840914,0.466749669308114,0.004565938240215
170,ARG,Argentina,Cipolletti,Cipolletti,33847.125411033586715,20603.923768043521704,60.873481921531102,0.176266261603145,0.001348629909955
171,ARG,Argentina,General Roca,General Roca,46316.396753311135399,19411.488589763655909,41.910619025811840,0.264477560692948,0.001973722503322
172,ARG,Argentina,Río Cuarto,Río Cuarto,72325.178751826533698,29847.352132320367673,41.268272885625791,0.330354411408463,0.003661467621830
173,ARG,Argentina,Villa María,Villa María; Villa Nueva,42784.095743536920054,17164.553456306472071,40.119004873205562,0.286908706014842,0.002389778062157
174,ARG,Argentina,Presidencia Roque Sáenz Peña,Presidencia Roque Sáenz Peña,67981.683924198179739,13461.113206863403320,19.801088219398892,0.231566327004563,0.002259923395515
175,ARG,Argentina,San Francisco,San Francisco; Frontera,30046.169113040021330,3835.384596824644632,12.764970410687356,0.184419462479586,0.001607778390498
176,ARG,Argentina,Santa Rosa,Santa Rosa,72393.076874494377989,6953.129983901972082,9.604689127879441,0.318688652528952,0.003116910972322
177,ARG,Argentina,General Pico,General Pico,31102.181938171339425,21483.935424327835790,69.075331972001777,0.191710429527205,0.001489842413464
178,ARG,Argentina,Rafaela,Rafaela,44825.066771447622159,13795.493232727052600,30.776291540327318,0.243098241089572,0.002359927619710
179,ARG,Argentina,Venado Tuerto,Venado Tuerto,29544.524518847421859,1831.963968276976175,6.200688615273911,0.248407480462486,0.001649834789888
180,ARG,Argentina,Santa Fe,Santa Fe,206254.927257537550759,121142.283818721727584,58.734249615020829,0.502264293943884,0.005874851111503
181,ARG,Argentina,Santo Tomé,Santo Tomé,35322.973698616035108,5842.482948303219018,16.540178633182677,0.140437962379270,0.001137829777216
182,ARG,Argentina,Reconquista,Reconquista; Avellaneda,54582.147244930201850,4359.215056419373468,7.986521740997045,0.271447885706186,0.002494573098347
183,ARG,Argentina,Resistencia,Resistencia,318958.592470050149132,147487.890429497143487,46.240450613772389,0.572052376665406,0.008275599475956
184,ARG,Argentina,Paraná,Paraná,146882.712716699228622,26850.338566780119436,18.280121649555774,0.406347073916768,0.005124281054798
185,ARG,Argentina,Corrientes,Corrientes,276784.868849992344622,157650.703245163022075,56.957847406970906,0.396923009682535,0.005457685343118
186,ARG,Argentina,Rosario,Rosario,847913.228669108124450,748063.845599416177720,88.224103635413670,1.579531074082508,0.023457001477895
187,ARG,Argentina,Goya,Goya,53498.774614095760626,3481.075525283811658,6.506832259979689,0.173657785554060,0.001570867462191
188,ARG,Argentina,Formosa,Formosa,131309.694207072054269,34194.455538630521914,26.041074686158911,0.354565428311012,0.003776847932983
189,ARG,Argentina,Junín,Junín,41948.807405471721722,8941.796092987058728,21.315972124205647,0.227466226430389,0.001960392726822
190,ARG,Argentina,Pergamino,Pergamino,44309.887347459683951,25872.920785427093506,58.390852097055500,0.225908257396450,0.001944441051431
191,ARG,Argentina,Comodoro Rivadavia,Comodoro Rivadavia,73330.557952165559982,70821.154300689639058,96.577956418778484,0.315017629322696,0.002433977925886
192,ARG,Argentina,San Nicolás de los Arroyos,San Nicolás de los Arroyos,86149.885613918304443,14552.071627616869591,16.891573939903036,0.370501701883919,0.002994571167575
193,ARG,Argentina,Puerto Madryn,Puerto Madryn,67527.067373990867054,49618.377091407863190,73.479241763309858,0.319211362180558,0.002638276544162
194,ARG,Argentina,Trelew,Trelew,61900.212104201425973,24427.299655914281175,39.462384417672013,0.328654392753787,0.002659257684238
195,ARG,Argentina,Bahía Blanca,Bahía Blanca,195338.644660057732835,79294.298498630538234,40.593246992485277,0.475726746085403,0.007758941257035
196,ARG,Argentina,Viedma,Viedma,39399.211969137148117,37953.418159723354620,96.330399170048779,0.223180687966510,0.002025698377378
197,ARG,Argentina,Concordia,Concordia; Salto,76048.944631099860999,16950.628641128547315,22.289104370025157,0.448148474838007,0.005009915158825
198,ARG,Argentina,Zárate,Zárate,34804.851116657220700,14306.285619735732325,41.104286215115792,0.248289963960254,0.002046627502274
199,ARG,Argentina,Olavarría,Olavarría,37408.938998937555880,7745.348444938661487,20.704539214968445,0.212786835676306,0.001816286421949
200,ARG,Argentina,Gualeguaychu,Gualeguaychu,34404.846262216538889,19375.704858303070068,56.316789532007164,0.204856091164137,0.001635936857979
201,ARG,Argentina,Concepción del Uruguay,Concepción del Uruguay,34214.705868244105659,8765.292221069337756,25.618493564794086,0.207467404070001,0.001626274335859
202,ARG,Argentina,Campana,Campana,30495.796950578711403,22011.880675315864210,72.180047338943851,0.248416140480014,0.001755626341079
203,ARG,Argentina,Luján,Luján,33650.593225479147804,24763.826361894622096,73.591054386358522,0.249336033528498,0.001763929862406
