OID_,CTR_MN_ISO,CTR_MN_NM,UC_NM_MN,UC_NM_LST,Total_POP,Access_POP,SDG1121pct,Shape_Length,Shape_Area
12887,YEM,Yemen,Al Kharazah,Al Kharazah; Kuhlan; Mahall al Lawiyah; An Nusub; Bayt al Qutayb; Al Fur`ah; Washhah; Markaz al Muqawamah; Dhira` Dumaysh; Mahall Sa`adah; Majadi`ah; Ar Rabu; Al Waqah; Adh Dhirwah; Bayt al Qarr; Qaryat al Quzah; Al Hayjah; Suhib; As Safih,1096.561263561248779,-9999.000000000000000,-9999.000000000000000,0.037053618378525,0.000084081866055
12888,YEM,Yemen,Al Mudayyirah,Al Mudayyirah; Bayt ash Sharif; At Talahiyah; Bayt al Haddad; Ash Shaathimah; Sidan Bani Ghawth; Bani Khawiz; Al Quru; Al Qufl; Bani Rassam; Al Quru; Bani Shus; Al Arqub; Bani Wahan; Suq ar Rubu,4150.780908584594727,-9999.000000000000000,-9999.000000000000000,0.053600939148195,0.000167971223320
12889,YEM,Yemen,Al Madwarah,Al Madwarah; Ash Shajinah; Az Zilah; Ash Sharaf; Bura; Al Magharib; Al Hariqah; Bayda; Iththan; Al Qadam,841.573388576507455,-9999.000000000000000,-9999.000000000000000,0.036940896525949,0.000083670004224
12890,YEM,Yemen,Al Harq,Al Harq; Ar Ribat; Balas,909.720944404602278,-9999.000000000000000,-9999.000000000000000,0.036947390539072,0.000083693010123
12891,YEM,Yemen,Duhyan,Duhyan; Majz; Majadh,729.484782457351457,-9999.000000000000000,-9999.000000000000000,0.053772343372912,0.000168827003402
12892,YEM,Yemen,As Safaqayn,As Safaqayn,1094.274656295776140,-9999.000000000000000,-9999.000000000000000,0.036947835124733,0.000083693014223
12893,YEM,Yemen,Suq at Talh,Suq at Talh,970.852715969085580,-9999.000000000000000,-9999.000000000000000,0.053764867864640,0.000168782413816
12894,YEM,Yemen,Ash Shaghadirah,Ash Shaghadirah,6498.962967872619629,-9999.000000000000000,-9999.000000000000000,0.090499857907529,0.000418935990298
12895,YEM,Yemen,Sa'dah,Sa'dah,47049.587510347562784,-9999.000000000000000,-9999.000000000000000,0.218894710035842,0.001687035813776
12896,YEM,Yemen,Al Mahwit,Al Mahwit,371.896752834320012,-9999.000000000000000,-9999.000000000000000,0.036956628933636,0.000083722735370
12897,YEM,Yemen,Barabir,Barabir; Dayr Umm Sad; Al Wisayah; Ash Sharifiyah; Hajir; Al Judur; Al Mahad; Al Jurmudiyah; Al Marawigh; Dayr al Qasir; Al Hakamiyah; Al Majrab,255.914832592010214,-9999.000000000000000,-9999.000000000000000,0.036861817480598,0.000083376683126
12898,YEM,Yemen,Al Jarrahi,Al Jarrahi,2041.531740188599088,-9999.000000000000000,-9999.000000000000000,0.036817597968165,0.000083215341446
12899,YEM,Yemen,Hajja,Hajja,20416.057048797596508,-9999.000000000000000,-9999.000000000000000,0.110953236011472,0.000419112630499
12900,YEM,Yemen,Sayabah,Sayabah; Bayt Shirayhid; Umm Qubayr,1580.990254402160872,-9999.000000000000000,-9999.000000000000000,0.036816830698394,0.000083212347046
12901,YEM,Yemen,Al Murabba,Al Murabba; Al Maziri; Zahb ad Duman; Mahwa al Hiyas; Shib az Zarb; Nafhan; Marba`; Al Jama`iyah; Sanif Saghir; Sanif al Ghalabah,289.775891184806937,-9999.000000000000000,-9999.000000000000000,0.036852060949666,0.000083339672543
12902,YEM,Yemen,Janbat ash Sharif,Janbat ash Sharif; Mahall Sufakah; Mahall Khabiyah,2656.807276487347735,-9999.000000000000000,-9999.000000000000000,0.090241999501729,0.000333616733318
12903,YEM,Yemen,Shi`b al Ghayl,Shi`b al Ghayl; Al A`waj; Ad Dahi; Mishrafah; Al Musharaah; Al Hummar; Kabbat ash Sharif; Kabbat Muaymirah; Bani al Habili; Sunayf al Ma`abirah; Humaydan; Al Quran; Kabbat Sulayman; Bani Sawadah; Arsimah; Al Uqaydah; Al Habil; Arsimah; Az Zuhrah; Zahr Bur,9468.046136379249219,-9999.000000000000000,-9999.000000000000000,0.094036170173685,0.000333212308624
12904,YEM,Yemen,Qaryat al Mahalibi,Qaryat al Mahalibi; Qaryat an Nazali; Dar al Hurbi; Al Habi; Ar Ramadi; Al Maqani; El Hurbi; Al `Uqdah; As Salamah,586.179180383682478,-9999.000000000000000,-9999.000000000000000,0.053267774384252,0.000166273450991
