CTR_MN_NM,Total_Country_POP,Total_Access_POP,Percent_Access,IND_NAME,DIM_GEO_NAME,DIM_1_CODE,VALUE_NUMERIC
Bangladesh,70315599.9406973,10786199.7473774,0.1533969667680323,Life expectancy at birth (years),Bangladesh,SEX_BTSX,73.10251617
Barbados,112145.85157394412,55820.11654043196,0.4977457102247477,Age-standardized prevalence of obesity among adults (18+ years) (%),Barbados,SEX_BTSX,38.02479935
Barbados,112145.85157394412,55820.11654043196,0.4977457102247477,Life expectancy at birth (years),Barbados,SEX_MLE,75.12224579
Barbados,112145.85157394412,55820.11654043196,0.4977457102247477,Life expectancy at birth (years),Barbados,SEX_BTSX,76.84183502
Barbados,112145.85157394412,55820.11654043196,0.4977457102247477,Life expectancy at birth (years),Barbados,SEX_FMLE,78.40878296
Belarus,4612884.644144582,4095285.6103948406,0.8877927644675092,Age-standardized prevalence of obesity among adults (18+ years) (%),Belarus,SEX_BTSX,21.37462044
Belarus,4612884.644144582,4095285.6103948406,0.8877927644675092,Life expectancy at birth (years),Belarus,SEX_FMLE,78.13226318
Belarus,4612884.644144582,4095285.6103948406,0.8877927644675092,Life expectancy at birth (years),Belarus,SEX_MLE,68.06072998
Belarus,4612884.644144582,4095285.6103948406,0.8877927644675092,Life expectancy at birth (years),Belarus,SEX_BTSX,73.12324524
Belgium,3783405.30829447,3579572.6796893426,0.946124559227567,Age-standardized prevalence of obesity among adults (18+ years) (%),Belgium,SEX_BTSX,20.02536964
Belgium,3783405.30829447,3579572.6796893426,0.946124559227567,Life expectancy at birth (years),Belgium,SEX_FMLE,83.68795013
Belgium,3783405.30829447,3579572.6796893426,0.946124559227567,Life expectancy at birth (years),Belgium,SEX_BTSX,81.50596619
Belgium,3783405.30829447,3579572.6796893426,0.946124559227567,Life expectancy at birth (years),Belgium,SEX_MLE,79.28523254
Belize,21148.61987113951,5175.060368537901,0.2446996730789063,Age-standardized prevalence of obesity among adults (18+ years) (%),Belize,SEX_BTSX,42.32286835
Belize,21148.61987113951,5175.060368537901,0.2446996730789063,Life expectancy at birth (years),Belize,SEX_MLE,71.36484528
Belize,21148.61987113951,5175.060368537901,0.2446996730789063,Life expectancy at birth (years),Belize,SEX_FMLE,75.44019318
Belize,21148.61987113951,5175.060368537901,0.2446996730789063,Life expectancy at birth (years),Belize,SEX_BTSX,73.32055664
Benin,2415530.094445831,50013.97039794928,0.0207051737889539,Age-standardized prevalence of obesity among adults (18+ years) (%),Benin,SEX_BTSX,11.16586018
Benin,2415530.094445831,50013.97039794928,0.0207051737889539,Life expectancy at birth (years),Benin,SEX_FMLE,66.37542725
Benin,2415530.094445831,50013.97039794928,0.0207051737889539,Life expectancy at birth (years),Benin,SEX_MLE,61.71936035
Benin,2415530.094445831,50013.97039794928,0.0207051737889539,Life expectancy at birth (years),Benin,SEX_BTSX,64.01268768
Bhutan,3500.137038230896,2170.3819971084604,0.6200848633645084,Age-standardized prevalence of obesity among adults (18+ years) (%),Bhutan,SEX_BTSX,12.17730999
Bhutan,3500.137038230896,2170.3819971084604,0.6200848633645084,Life expectancy at birth (years),Bhutan,SEX_FMLE,75.9397583
Bhutan,3500.137038230896,2170.3819971084604,0.6200848633645084,Life expectancy at birth (years),Bhutan,SEX_MLE,73.92720795
Bhutan,3500.137038230896,2170.3819971084604,0.6200848633645084,Life expectancy at birth (years),Bhutan,SEX_BTSX,74.8764267
Bosnia and Herzegovina,393199.005224257,187157.329806089,0.4759862749381722,Age-standardized prevalence of obesity among adults (18+ years) (%),Bosnia and Herzegovina,SEX_BTSX,21.1939106
Bosnia and Herzegovina,393199.005224257,187157.329806089,0.4759862749381722,Life expectancy at birth (years),Bosnia and Herzegovina,SEX_BTSX,74.84944153
Bosnia and Herzegovina,393199.005224257,187157.329806089,0.4759862749381722,Life expectancy at birth (years),Bosnia and Herzegovina,SEX_MLE,72.55525208
Bosnia and Herzegovina,393199.005224257,187157.329806089,0.4759862749381722,Life expectancy at birth (years),Bosnia and Herzegovina,SEX_FMLE,77.19796753
Botswana,192070.56328654292,-54973.84615802765,-0.2862169257868745,Age-standardized prevalence of obesity among adults (18+ years) (%),Botswana,SEX_BTSX,18.2908802
Botswana,192070.56328654292,-54973.84615802765,-0.2862169257868745,Life expectancy at birth (years),Botswana,SEX_BTSX,61.23118973
Botswana,192070.56328654292,-54973.84615802765,-0.2862169257868745,Life expectancy at birth (years),Botswana,SEX_MLE,59.22470856
Botswana,192070.56328654292,-54973.84615802765,-0.2862169257868745,Life expectancy at birth (years),Botswana,SEX_FMLE,63.17931366
Brazil,113582162.6140578,52441423.8197571,0.4617047484643204,Age-standardized prevalence of obesity among adults (18+ years) (%),Brazil,SEX_BTSX,28.14183998
Brazil,113582162.6140578,52441423.8197571,0.4617047484643204,Life expectancy at birth (years),Brazil,SEX_FMLE,75.84727478
Brazil,113582162.6140578,52441423.8197571,0.4617047484643204,Life expectancy at birth (years),Brazil,SEX_BTSX,72.38840485
Brazil,113582162.6140578,52441423.8197571,0.4617047484643204,Life expectancy at birth (years),Brazil,SEX_MLE,69.04411316
Bulgaria,1199843.045668776,833977.8091487938,0.695072419812998,Age-standardized prevalence of obesity among adults (18+ years) (%),Bulgaria,SEX_BTSX,20.58764076
Bulgaria,1199843.045668776,833977.8091487938,0.695072419812998,Life expectancy at birth (years),Bulgaria,SEX_FMLE,74.97959137
Bulgaria,1199843.045668776,833977.8091487938,0.695072419812998,Life expectancy at birth (years),Bulgaria,SEX_MLE,67.97640228
Bulgaria,1199843.045668776,833977.8091487938,0.695072419812998,Life expectancy at birth (years),Bulgaria,SEX_BTSX,71.30586243
Burkina Faso,3175921.68481196,1103363.661631592,0.3474152611848551,Age-standardized prevalence of obesity among adults (18+ years) (%),Burkina Faso,SEX_BTSX,6.74530983
Burkina Faso,3175921.68481196,1103363.661631592,0.3474152611848551,Life expectancy at birth (years),Burkina Faso,SEX_FMLE,64.64479065
Burkina Faso,3175921.68481196,1103363.661631592,0.3474152611848551,Life expectancy at birth (years),Burkina Faso,SEX_BTSX,62.29728699
Burkina Faso,3175921.68481196,1103363.661631592,0.3474152611848551,Life expectancy at birth (years),Burkina Faso,SEX_MLE,59.87614059
