CTR_MN_NM,Total_Country_POP,Total_Access_POP,Percent_Access
Saudi Arabia,5848904.757385673,903345.2210819733,15.444690220699508
Senegal,4475086.666272026,2205193.217024211,49.27710637750059
Serbia,2861950.366812868,2391256.2168418416,83.55337830350979
Sierra Leone,2285864.913644381,190580.1064376831,8.337330228925865
Singapore,5821745.378072472,5603740.384585073,96.25533273391666
Slovakia,724117.655343816,658528.1068024497,90.9421420597425
Slovenia,302806.1018212441,279956.041731,92.4538970804052
Solomon Islands,85529.75483813857,3641.3874988555926,4.257451112477481
Somalia,964525.6429432794,369148.9811115265,38.27259376796424
South Africa,28289240.94136118,5739263.373409875,20.28779558032822
South Korea,36562993.33941011,27687599.15377439,75.72574514551792
Spain,22418061.26870069,20307749.666241672,90.58655618269114
Sri Lanka,6697138.824632427,1131870.6942116,16.90080979131746
Sudan,4196384.395476309,1532368.645309748,36.51640319131958
Suriname,177854.28641286475,8014.661335468291,4.506307661803177
Swaziland,67293.01778185363,13544.938480377194,20.128297001460602
Sweden,3002664.824854507,2609948.354258008,86.92106866721203
Switzerland,2740829.5538409916,2682342.8743840964,97.86609570905523
Syria,5897986.007883972,799906.7570221423,13.562371222191588
São Tomé and Príncipe,73865.20910215382,32272.587532043464,43.69118821204614
Taiwan,17900958.428681996,16018109.82857633,89.48185591510646
Tajikistan,1807811.742002856,456975.04299116146,25.27780035795561
Tanzania,12544993.336979337,1687141.0834395888,13.448720442651341
Thailand,21406683.593940027,7293356.344564189,34.07046361272351
Timor-Leste,297858.86836469156,7016.225032806396,2.3555535114085946
Togo,2562142.1570966733,1048606.9593687002,40.92696248193128
Trinidad and Tobago,379635.08841729176,42221.728098869324,11.121661139093536
Tunisia,4430573.374448542,1752953.565160753,39.564937018539666
Turkey,46254946.244808175,22379981.607836008,48.38397495780901
Turkmenistan,883416.3330135053,443373.4043232199,50.188499776859096
Uganda,5580728.775462463,522751.78632259363,9.367088195022959
Ukraine,16684380.057393832,12073344.620615268,72.36315990814929
United Arab Emirates,2414397.8303627884,625842.6753315942,25.92127392847909
United Kingdom,39772780.862317115,34848691.00531267,87.61944789817349
United States,154706146.42469722,60298235.81166407,38.97597943273318
Uruguay,1711448.8821322434,1486158.1902885295,86.83625937088867
Uzbekistan,5981145.716167733,914253.0377838608,15.285583752165216
Venezuela,10198443.16050514,2233628.7118808124,21.901663584603224
Vietnam,33768209.26451886,12144131.696870826,35.96320906963516
Western Sahara,100920.05647695027,19998.0,19.81568451120265
Yemen,5047756.470084145,1121264.9590625763,22.213134997851533
Zambia,4190226.6436709748,551269.6478379966,13.156081871386322
Zimbabwe,2717270.06630039,321745.266682148,11.84075409626875
