,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
2025-05-09,242.8400,255.8800,242.1700,253.0800,253.0800,49807325,0.0000
2025-04-30,242.6200,247.2450,202.1600,244.6200,244.6200,287377800,1.4000
2025-03-31,264.0000,266.3200,224.2300,245.3000,243.6776,265031219,0.0000
2025-02-28,261.8300,280.2500,253.3500,264.6500,262.8997,156634557,0.0000
2025-01-31,240.9200,270.8200,238.7400,267.3000,265.5321,209829166,1.2500
2024-12-31,249.5500,250.2500,229.5300,239.7100,236.8951,181267096,0.0000
2024-11-29,223.5600,254.3100,219.1700,249.7200,246.7876,188852210,0.0000
2024-10-31,208.9000,226.7500,204.3400,221.9200,219.3140,178339133,1.2500
2024-09-30,222.3000,224.1000,200.6100,210.8600,207.1580,206449584,0.0000
2024-08-30,213.2000,225.4800,190.9000,224.8000,220.8532,172436651,0.0000
2024-07-31,202.8400,217.5600,202.1000,212.8000,209.0639,197456051,1.1500
2024-06-28,202.3100,202.6000,190.8800,202.2600,197.5993,174902140,0.0000
2024-05-31,192.2700,205.8800,188.4600,202.6300,197.9608,195902413,0.0000
2024-04-30,199.9900,200.9400,179.2000,191.7400,187.3217,222243015,1.1500
2024-03-28,185.7000,200.7200,184.2700,200.3000,194.5410,165873396,0.0000
2024-02-29,173.6400,186.4300,171.4300,186.0600,180.7104,154735805,0.0000
2024-01-31,169.0900,178.3000,164.3000,174.3600,169.3468,231282257,1.0500
2023-12-29,155.8200,170.6900,155.8200,170.1000,164.2035,182856749,0.0000
2023-11-30,139.2500,156.1300,138.4700,156.0800,150.6695,162197963,0.0000
2023-10-31,144.8300,153.1100,135.1900,139.0600,134.2395,244073286,1.0500
2023-09-29,146.0900,150.2500,142.6500,145.0200,138.9717,172247400,0.0000
2023-08-31,157.4300,158.0000,145.4600,146.3300,140.2271,169318304,0.0000
2023-07-31,146.1900,159.3800,141.4401,157.9600,151.3720,231274765,1.0000
2023-06-30,136.5200,146.0000,135.4450,145.4400,138.4172,206576256,0.0000
2023-05-31,142.2600,143.3700,131.8100,135.7100,129.1571,234843075,0.0000
2023-04-28,129.9100,141.7800,126.2200,138.2400,131.5649,242598953,1.0000
2023-03-31,142.1000,144.0400,123.1100,130.3100,123.0535,458502954,0.0000
2023-02-28,138.2100,144.3400,137.4350,143.3500,135.3674,169565594,0.0000
2023-01-31,135.2400,143.4900,133.5500,139.9600,132.1661,209965176,1.0000
